Atomic Fact,Label,Reason
Đặng Văn Lâm là một cầu thủ bóng đá người Việt Nam.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Đặng Văn Lâm là một cầu thủ bóng đá người Việt Nam"" hoàn toàn đúng và được xác nhận bởi nguồn thông tin Wikipedia. Đặng Văn Lâm được mô tả là một cầu thủ bóng đá chuyên nghiệp người Việt - Nga, hiện đang thi đấu cho đội tuyển bóng đá quốc gia Việt Nam.  
Đoạn thông tin: ""Đặng Văn Lâm (tiếng Nga: Лев Шонович Данг, đã Latinh hoá: Lev Shonovich Dang, sinh ngày 13 tháng 8 năm 1993) là một cầu thủ bóng đá chuyên nghiệp người Việt - Nga, hiện đang thi đấu ở vị trí thủ môn cho câu lạc bộ Phù Đổng Ninh Bình tại V.League 2 và đội tuyển bóng đá quốc gia Việt Nam."""
Đặng Văn Lâm sinh ngày 13 tháng 1 năm 1993.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không liên quan đến ngữ cảnh của nhân vật Phạm Duy, và không có bất kỳ thông tin nào trong đoạn văn cung cấp về Đặng Văn Lâm hay ngày sinh của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về Đặng Văn Lâm."
"Đặng Văn Lâm sinh tại Moscow, Nga.",Supported,"Nhãn: Supported  
Lí do: Thông tin ""Đặng Văn Lâm sinh tại Moscow, Nga"" hoàn toàn đúng và được xác nhận trong đoạn văn cung cấp, nơi đã nêu rõ rằng Đặng Văn Lâm được sinh ra và lớn lên tại thủ đô Moskva của Nga.  
Đoạn thông tin: ""Đặng Văn Lâm được sinh ra và lớn lên tại thủ đô Moskva của Nga."""
Đặng Văn Lâm là một trong những thủ môn nổi bật của bóng đá Việt Nam.,Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về Đặng Văn Lâm không được đề cập trong ngữ cảnh cung cấp về Phan Văn Đức. Do đó, thông tin này không liên quan đến nhân vật được đánh giá.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Văn Lâm trong nội dung đã cung cấp."
Đặng Văn Lâm đã có nhiều đóng góp quan trọng cho đội tuyển quốc gia.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không có trong đoạn văn thông tin cung cấp, và không liên quan đến nhân vật Phạm Văn Đồng.  
Đoạn thông tin: Không có thông tin về Đặng Văn Lâm trong tài liệu đã cung cấp."
Đặng Văn Lâm có cha là người Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không được đề cập đến trong đoạn văn cung cấp, và do đó không có cơ sở để xác nhận hoặc phủ nhận thông tin này.  
Đoạn thông tin: (Không có đoạn thông tin liên quan đến Đặng Văn Lâm trong văn bản đã cho.)"
Đặng Văn Lâm có mẹ là người Nga.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không có trong đoạn văn bản cung cấp, vì vậy không thể xác minh hay phủ nhận thông tin này. Do đó, nó không liên quan đến ngữ cảnh của nhân vật Phạm Duy.  
Đoạn thông tin: Không có thông tin về Đặng Văn Lâm trong đoạn văn bản cung cấp."
Đặng Văn Lâm đã sống và lớn lên ở Nga.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Đặng Văn Lâm đã sống và lớn lên ở Nga"" được xác nhận là đúng bởi đoạn văn mô tả rõ ràng về nơi sinh và lớn lên của anh.  
Đoạn thông tin: ""Đặng Văn Lâm được sinh ra và lớn lên tại thủ đô Moskva của Nga."""
Đặng Văn Lâm đã trở về Việt Nam để theo đuổi sự nghiệp bóng đá.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận trong đoạn văn rằng Đặng Văn Lâm đã quay trở lại Việt Nam để thi đấu cho câu lạc bộ Hải Phòng vào năm 2015 sau khi có thời gian thi đấu ở nước ngoài. Điều này chứng minh rằng anh đã trở về Việt Nam để theo đuổi sự nghiệp bóng đá.  
Đoạn thông tin: ""Năm 2015, anh quay trở lại Việt Nam để thi đấu cho câu lạc bộ Hải Phòng."""
Đặng Văn Lâm bắt đầu sự nghiệp thi đấu tại CLB Sanna Khánh Hòa BVN.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không có trong đoạn văn bản cung cấp, vì vậy không liên quan đến nhân vật Nguyễn Quang Hải.  
Đoạn thông tin: Không có thông tin về Đặng Văn Lâm trong nội dung đã cho."
Đặng Văn Lâm có cơ hội ra sân và thể hiện tài năng của mình tại CLB Sanna Khánh Hòa BVN.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không đề cập đến việc anh có cơ hội ra sân tại CLB Sanna Khánh Hòa BVN, mà chỉ nói về sự nghiệp của anh tại các câu lạc bộ khác. Không có bất kỳ thông tin nào trong đoạn văn về CLB Sanna Khánh Hòa BVN.  
Đoạn thông tin: ""Năm 2015, anh quay trở lại Việt Nam để thi đấu cho câu lạc bộ Hải Phòng... Tháng 1 năm 2019, sau kỳ Asian Cup thành công cùng đội tuyển Việt Nam, Văn Lâm được câu lạc bộ Muangthong United của Thái Lan để ý..."" (và các phần khác liên quan đến các câu lạc bộ mà Văn Lâm đã thi đấu)."
Đặng Văn Lâm gia nhập CLB Hải Phòng.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Đặng Văn Lâm gia nhập CLB Hải Phòng không được xác nhận trong đoạn văn bản cung cấp. Đoạn văn chỉ nói đến Phan Văn Đức, không có bất kỳ thông tin nào liên quan đến Đặng Văn Lâm.  
Đoạn thông tin: Không có thông tin liên quan trong đoạn văn bản cung cấp."
Đặng Văn Lâm gia nhập CLB TP.HCM.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không có trong đoạn văn về Phan Văn Đức, do đó không liên quan đến nhân vật được đề cập.  
Đoạn thông tin: ""Phan Văn Đức (sinh ngày 11 tháng 4 năm 1996) là một cầu thủ bóng đá chuyên nghiệp người Việt Nam hiện đang là chơi ở vị trí tiền vệ cánh cho câu lạc bộ Công an Hà Nội và đội tuyển quốc gia Việt Nam."""
Đặng Văn Lâm sự nghiệp thật sự bùng nổ khi chuyển sang thi đấu cho CLB Hà Nội FC.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không được đề cập trong đoạn văn cung cấp, mà chỉ có thông tin về Nguyễn Quang Hải và sự nghiệp của anh tại CLB Hà Nội T&T (sau này là Hà Nội FC). Do đó, atomic fact này không liên quan đến thông tin đã cho.  
Đoạn thông tin: [Không có đoạn thông tin nào liên quan đến Đặng Văn Lâm.]"
Đặng Văn Lâm đã giành được nhiều danh hiệu tại CLB Hà Nội FC.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không có liên quan đến tiểu sử và sự nghiệp của Phan Văn Đức, mà chỉ đề cập đến Phan Văn Đức. Không có thông tin nào trong đoạn văn liên quan đến Đặng Văn Lâm hay danh hiệu của anh ta tại CLB Hà Nội FC.  
Đoạn thông tin: ""Phan Văn Đức (sinh ngày 11 tháng 4 năm 1996) là một cầu thủ bóng đá chuyên nghiệp người Việt Nam hiện đang là chơi ở vị trí tiền vệ cánh cho câu lạc bộ Công an Hà Nội và đội tuyển quốc gia Việt Nam."""
Đặng Văn Lâm chuyển sang thi đấu cho CLB Alanyaspor tại Thổ Nhĩ Kỳ vào năm 2021.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm và việc anh chuyển sang thi đấu cho CLB Alanyaspor tại Thổ Nhĩ Kỳ vào năm 2021 không được đề cập trong đoạn thông tin về Sông Lam Nghệ An và Công Vinh. Toàn bộ thông tin cung cấp chỉ liên quan đến sự nghiệp thi đấu của Công Vinh và không có bất kỳ thông tin nào về Đặng Văn Lâm.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Đặng Văn Lâm trong nội dung đã cung cấp>"
Đặng Văn Lâm đã được gọi vào đội tuyển quốc gia Việt Nam.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận trong đoạn văn mô tả sự nghiệp của Đặng Văn Lâm, nơi nêu rõ rằng anh đã được gọi lên đội tuyển quốc gia Việt Nam bởi huấn luyện viên Miura Toshiya.  
Đoạn thông tin: ""anh trở thành thủ môn trọng yếu của câu lạc bộ và ngay sau đó được gọi lên đội tuyển quốc gia Việt Nam bởi huấn luyện viên Miura Toshiya."""
Đặng Văn Lâm trở thành một phần quan trọng trong thành công của đội bóng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không có trong đoạn văn cung cấp, nên không thể xác nhận thông tin này.  
Đoạn thông tin: Không có thông tin liên quan đến Đặng Văn Lâm trong đoạn văn."
Đặng Văn Lâm đã góp mặt trong nhiều giải đấu lớn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm không được đề cập trong đoạn văn bản cung cấp, mà chỉ có thông tin về nhân vật Trần Hưng Đạo và gia quyến của ông. Do đó, câu hỏi không liên quan đến nội dung được trình bày.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Văn Lâm trong văn bản."
Đặng Văn Lâm đã góp mặt trong AFF Cup.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Văn Lâm và AFF Cup không được đề cập trong đoạn văn về Phạm Duy. Đoạn văn chỉ nói về sự nghiệp âm nhạc và các tác phẩm của Phạm Duy trong thời kỳ Chiến tranh Việt Nam, không liên quan đến Đặng Văn Lâm hay các sự kiện thể thao.  
Đoạn thông tin: ""Thời Chiến tranh Việt Nam ====

Từ sau Hiệp định Genève cho đến năm 1975, do hoàn cảnh chính trị, sự nghiệp của Phạm Duy chủ yếu phát triển ở miền Nam Việt Nam. Đây là giai đoạn rực rỡ, quan trọng và có ảnh hưởng lớn trong sự nghiệp của ông, với sự đi sâu vào các chủ đề tình cảm, tâm tư, bên cạnh đó là các đề tài mới mẻ cũng như những ca khúc có vấn vương tới chính trị..."" (và tiếp tục với các nội dung liên quan đến Phạm Duy)."
Đặng Văn Lâm đã góp mặt trong Asian Cup.,Unsupported,"Nhãn: Unsupported  
Lí do: Đặng Văn Lâm không góp mặt trong Asian Cup, mà chỉ có thông tin rằng anh không thi đấu cho đội tuyển Việt Nam do chấn thương và Nguyễn Filip được trao suất bắt chính tại Asian Cup 2023. Điều này cho thấy anh không tham gia giải đấu này.  
Đoạn thông tin: ""Kể từ tháng 11 năm 2023, Văn Lâm không được thi đấu cho Việt Nam do chấn thương và Nguyễn Filip được trao suất bắt chính tại Asian Cup 2023."""
