Atomic Fact,Label,Reason
Lionel Messi tên đầy đủ là Lionel Andrés Messi.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên đầy đủ của Lionel Messi không có trong đoạn văn bản cung cấp về nhân vật và không liên quan đến bất kỳ thông tin nào được đề cập.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn bản cung cấp cho biết về Lionel Messi hoặc tên đầy đủ của anh ấy."
"Lionel Messi sinh ngày 24 tháng 6 năm 1987 tại Rosario, Argentina.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh và nơi sinh của Lionel Messi hoàn toàn không liên quan đến nhân vật được cung cấp, đó là Leonardo DiCaprio. Không có bất kỳ thông tin nào trong đoạn văn liên quan đến Messi.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lionel Messi trong văn bản cung cấp."
Lionel Messi được xem là một trong những cầu thủ bóng đá vĩ đại nhất mọi thời đại.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận bởi đoạn văn bản, trong đó nhấn mạnh rằng Messi đã được ""đánh giá là một trong những cầu thủ vĩ đại nhất mọi thời đại."" Điều này cho thấy sự công nhận rộng rãi về tài năng và thành tích của anh trong lịch sử bóng đá.  
Đoạn thông tin: ""Được đánh giá là một trong những cầu thủ vĩ đại nhất mọi thời đại."""
Lionel Messi bắt đầu chơi bóng từ khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lionel Messi không liên quan đến nội dung của đoạn văn về Isaac Newton, vì đoạn văn chỉ tập trung vào cuộc đời và sự nghiệp của Newton mà không đề cập đến bất kỳ thông tin nào về Lionel Messi.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn đề cập đến Lionel Messi."
Lionel Messi nhanh chóng thể hiện tài năng vượt trội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lionel Messi không liên quan đến ngữ cảnh về Einstein và các nghiên cứu của ông trong vật lý. Đoạn thông tin cung cấp hoàn toàn không đề cập đến Messi hay bất kỳ khía cạnh nào liên quan đến bóng đá.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lionel Messi trong văn bản."
Lionel Messi bắt đầu chơi bóng tại câu lạc bộ địa phương Grandoli.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lionel Messi không được đề cập trong đoạn văn bản cung cấp, mà chỉ có thông tin về sự nghiệp của Nguyễn Quang Hải. Do đó, thông tin về Messi không liên quan đến ngữ cảnh.  
Đoạn thông tin: [Không có thông tin liên quan đến Lionel Messi trong đoạn văn bản cung cấp.]"
Lionel Messi gia nhập Newell's Old Boys.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Lionel Messi gia nhập Newell's Old Boys không có trong đoạn thông tin cung cấp về Johansson, vì vậy nó không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lionel Messi hoặc Newell's Old Boys trong văn bản đã cho."
Lionel Messi được chẩn đoán mắc bệnh thiếu hormone tăng trưởng vào năm 11 tuổi.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lionel Messi không liên quan đến nội dung tiểu sử của Stephen Hawking, mà chỉ tập trung vào cuộc đời và sự nghiệp của ông. Không có thông tin nào trong đoạn văn nói về Messi hoặc tình trạng sức khỏe của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lionel Messi trong nội dung đã cung cấp."
Gia đình Messi đã quyết định di chuyển đến Tây Ban Nha để điều trị bệnh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về gia đình Messi di chuyển đến Tây Ban Nha để điều trị bệnh không được đề cập trong đoạn văn cung cấp, mà chỉ có thông tin về Donald Trump, sức khỏe và tài sản của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Messi trong đoạn văn đã cho."
Messi gia nhập FC Barcelona để điều trị bệnh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Messi gia nhập FC Barcelona để điều trị bệnh không liên quan đến thông tin về Bùi Tín được cung cấp. Không có bất kỳ thông tin nào trong đoạn văn nói về Messi hoặc FC Barcelona.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Messi hoặc FC Barcelona trong văn bản."
