Atomic Fact,Label,Reason
Tom Cruise tên thật là Thomas Cruise Mapother IV.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Tom Cruise tên thật là Thomas Cruise Mapother IV"" được xác nhận là đúng dựa trên thông tin trong nguồn tham khảo Wikipedia, nơi rõ ràng nêu tên đầy đủ của Tom Cruise.  
Đoạn thông tin: ""Thomas Cruise Mapother IV (sinh ngày 3 tháng 7 năm 1962) là một nam diễn viên và nhà sản xuất phim người Mỹ."""
Tom Cruise sinh ngày 3 tháng 7 năm 1962.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Tom Cruise không liên quan đến nội dung của đoạn văn cung cấp, mà chỉ nói về Leonardo DiCaprio và John Christopher Depp II.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Tom Cruise. Tất cả thông tin đều tập trung vào DiCaprio và Depp."
"Tom Cruise sinh tại Syracuse, New York, Mỹ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Tom Cruise không được đề cập trong đoạn văn thông tin cung cấp. Đoạn văn chủ yếu tập trung vào sự nghiệp chính trị của Barack Obama, không liên quan đến Tom Cruise.  
Đoạn thông tin: <Không có thông tin nào liên quan đến Tom Cruise trong đoạn văn cung cấp.>"
Tom Cruise là một trong những diễn viên nổi tiếng và thành công nhất trong lịch sử điện ảnh Hollywood.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tom Cruise không được đề cập trong ngữ cảnh cung cấp, mà chỉ có thông tin về Trịnh Công Sơn và những đóng góp của ông trong âm nhạc và điện ảnh.  
Đoạn thông tin: Không có thông tin liên quan đến Tom Cruise trong văn bản."
Tom Cruise lớn lên trong một gia đình có ba chị em.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tom Cruise không được đề cập trong đoạn văn bản cung cấp. Đoạn văn chỉ nói về Stephen Hawking và cuộc sống của ông, không liên quan đến Tom Cruise hoặc gia đình của ông.  
Đoạn thông tin: Không có thông tin nào về Tom Cruise trong đoạn văn bản."
Cha của Tom Cruise là một kỹ sư điện.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cha của Tom Cruise không được đề cập trong đoạn văn bản cung cấp, và do đó không thể xác minh. Nội dung của đoạn văn chỉ liên quan đến Vũ trụ điện ảnh Marvel và các tác phẩm sân khấu.  
Đoạn thông tin: ""=== 2010–2013: Vũ trụ điện ảnh Marvel và các tác phẩm sân khấu ==="""
Mẹ của Tom Cruise là một giáo viên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về mẹ của Tom Cruise không liên quan đến bất kỳ thông tin nào trong đoạn văn cung cấp về Obama. Đoạn văn chỉ đề cập đến cuộc sống và niềm tin tôn giáo của Obama cũng như các khía cạnh cá nhân khác của ông, không có thông tin nào liên quan đến Tom Cruise hay mẹ của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến mẹ của Tom Cruise trong đoạn văn."
Tom Cruise gặp khó khăn trong việc học hành do mắc chứng khó đọc.,Irrelevant,"Nhãn: Irrelevant
Lí do: Không có thông tin nào trong đoạn văn cung cấp xác nhận hoặc đề cập đến việc Tom Cruise gặp khó khăn trong việc học hành hay mắc chứng khó đọc. Thông tin trong đoạn văn chủ yếu tập trung vào những thành công, sự kiện và kiện tụng liên quan đến Tom Cruise, mà không nhắc đến bất kỳ vấn đề học hành nào của ông.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến việc Tom Cruise gặp khó khăn trong học hành hay mắc chứng khó đọc trong đoạn văn đã cung cấp."
Tom Cruise đã vượt qua chứng khó đọc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tom Cruise vượt qua chứng khó đọc không liên quan đến đoạn văn thông tin mà tôi có về DiCaprio. Đoạn văn chỉ nói về sự nghiệp và các tác phẩm của DiCaprio mà không đề cập đến Tom Cruise hay bất kỳ vấn đề nào liên quan đến chứng khó đọc.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến Tom Cruise hoặc chứng khó đọc trong văn bản được cung cấp.)"
Tom Cruise tìm thấy đam mê trong diễn xuất từ khi còn là một thiếu niên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Tom Cruise tìm thấy đam mê trong diễn xuất không được đề cập trong đoạn văn cung cấp. Tất cả thông tin chỉ liên quan đến Leonardo DiCaprio và các bộ phim cũng như sự nghiệp của anh.  
Đoạn thông tin: Không có thông tin nào liên quan đến Tom Cruise trong đoạn văn đã cung cấp."
