Atomic Fact,Label,Reason
Haruki Murakami là một trong những nhà văn nổi tiếng nhất Nhật Bản.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami không có trong ngữ cảnh về Xuân Quỳnh, vì vậy không thể xác nhận thông tin này dựa trên dữ liệu được cung cấp.  
Đoạn thông tin: Không có thông tin nào liên quan đến Haruki Murakami trong đoạn văn."
Haruki Murakami sinh ngày 12 tháng 1 năm 1949.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Haruki Murakami không liên quan đến nhân vật Obama và không được đề cập trong đoạn văn cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Haruki Murakami hoặc ngày sinh của ông."
"Haruki Murakami sinh tại Kyoto, Nhật Bản.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Haruki Murakami không liên quan đến thông tin được cung cấp về Barack Obama, do đó không thể xác minh hay phản ánh điều gì từ đoạn văn bản.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Haruki Murakami trong văn bản."
Haruki Murakami lớn lên ở Osaka.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin ""Haruki Murakami lớn lên ở Osaka"" không có trong đoạn thông tin cung cấp và không liên quan đến Nguyễn Phú Trọng, người được đề cập trong ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Haruki Murakami trong tài liệu cung cấp."
Haruki Murakami chuyển đến Tokyo.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Haruki Murakami chuyển đến Tokyo không có trong đoạn văn được cung cấp về Obama. Đoạn thông tin chỉ đề cập đến cuộc đời và sự nghiệp của Obama, không liên quan gì đến Haruki Murakami.   
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Haruki Murakami trong văn bản đã cho."
Haruki Murakami theo học ngành văn học tại Đại học Waseda.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami không liên quan đến nhân vật Võ Nguyên Giáp được mô tả trong đoạn thông tin. Không có bất kỳ thông tin nào trong đoạn văn đề cập đến Haruki Murakami hay ngành học của ông.  
Đoạn thông tin: <Không có thông tin nào về Haruki Murakami trong đoạn văn đã cho.>"
Haruki Murakami tốt nghiệp Đại học Waseda vào năm 1975.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Haruki Murakami tốt nghiệp Đại học Waseda vào năm 1975 không được đề cập trong đoạn văn thông tin về Obama. Do đó, nó không liên quan đến ngữ cảnh hiện tại.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về Haruki Murakami hoặc việc ông tốt nghiệp Đại học Waseda."
"Trước khi trở thành một nhà văn, Haruki Murakami đã sở hữu một quán bar nhạc jazz ở Tokyo.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami không xuất hiện trong đoạn văn được cung cấp, do đó không có cơ sở nào để xác nhận thông tin về ông ấy, và cũng không liên quan đến nhân vật trong ngữ cảnh đã cho.  
Đoạn thông tin: ""Tháng 5 năm 2005, ông chính thức trở về Việt Nam, mua nhà sống tại Quận 11, Thành phố Hồ Chí Minh cùng các con trai Duy Quang, Duy Cường. [...] Ngày 27 tháng 1 năm 2013, sau một thời gian nằm viện, ông qua đời, một tháng sau cái chết của con cả ông là ca sĩ Duy Quang. Tang lễ của ông được tổ chức tại nhà riêng và ông được an táng tại Công viên Nghĩa trang Bình Dương vào ngày 3 tháng 2 năm 2013."""
Haruki Murakami bắt đầu viết tiểu thuyết vào cuối những năm 1970.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami không có trong đoạn văn cung cấp, nên không thể xác minh hoặc liên kết với nội dung có sẵn.  
Đoạn thông tin: (Không có thông tin liên quan đến Haruki Murakami trong đoạn văn.)"
"Tác phẩm đầu tay của Haruki Murakami là ""Hear the Wind Sing"" (Nghe tiếng gió hát).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin được cung cấp không liên quan gì đến Haruki Murakami hay tác phẩm ""Hear the Wind Sing"". Đoạn văn chỉ nói về Phạm Duy và các tác phẩm âm nhạc của ông.  
Đoạn thông tin: ""Ca khúc đầu tay của Phạm Duy là Cô hái mơ, một ca khúc phổ từ thơ Nguyễn Bính. Tới năm 1944, ông cho ra đời bài Gươm tráng sĩ, một ca khúc gắn với sự tích hồ Hoàn Kiếm, và là ca khúc đầu tiên được ông viết cả lời lẫn nhạc."""
"""Hear the Wind Sing"" được xuất bản vào năm 1979.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ""Hear the Wind Sing"" không có trong đoạn văn cung cấp, vì vậy không thể xác minh năm xuất bản của tác phẩm này.  
Đoạn thông tin: Không có thông tin liên quan nào trong đoạn văn."
"""Hear the Wind Sing"" đã giành được Giải thưởng văn học Gunzo cho tác phẩm đầu tay.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Hear the Wind Sing"" đã giành được Giải thưởng văn học Gunzo cho tác phẩm đầu tay không có liên quan đến thông tin về Phạm Duy, nhân vật được cung cấp thông tin. Không có bất kỳ thông tin nào trong đoạn văn liên quan đến tác phẩm ""Hear the Wind Sing"" hay Giải thưởng văn học Gunzo.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan trong văn bản cung cấp."
"Haruki Murakami được biết đến rộng rãi với cuốn tiểu thuyết ""Norwegian Wood"" (Rừng Na Uy).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami và cuốn tiểu thuyết ""Norwegian Wood"" không liên quan đến nhân vật Nguyễn Nhật Ánh, người mà thông tin cung cấp đề cập đến.  
Đoạn thông tin: Không có đoạn thông tin nào về Haruki Murakami hoặc cuốn tiểu thuyết ""Norwegian Wood"" trong thông tin về Nguyễn Nhật Ánh."
"""Norwegian Wood"" được xuất bản vào năm 1987.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin ""Norwegian Wood"" được xuất bản vào năm 1987 là không đúng vì không có bất kỳ thông tin nào trong đoạn văn cung cấp về tác phẩm có tên ""Norwegian Wood"" hoặc năm xuất bản của nó. Đoạn thông tin cung cấp chỉ nói về các tác phẩm của tác giả Nguyễn Nhật Ánh mà không đề cập đến ""Norwegian Wood"".  
Đoạn thông tin: Không có thông tin liên quan về ""Norwegian Wood"" trong văn bản."
"""Norwegian Wood"" đã đưa Haruki Murakami đến với độc giả quốc tế.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đề cập đến tác phẩm ""Norwegian Wood"" và tác động của nó đến Haruki Murakami cũng như độc giả quốc tế. Tuy nhiên, đoạn thông tin về Ngọc Huyền không liên quan gì đến Haruki Murakami hay tác phẩm của ông. Đoạn văn chỉ nói về sự nghiệp và những tranh cãi liên quan đến Ngọc Huyền, một nghệ sĩ cải lương Việt Nam.  
Đoạn thông tin: Không có đoạn thông tin nào trong phần thông tin về Ngọc Huyền liên quan đến ""Norwegian Wood"" hay Haruki Murakami."
Haruki Murakami nổi tiếng với phong cách viết lãng mạn và huyền bí.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami không liên quan đến nhân vật Nguyễn Nhật Ánh và không được đề cập trong ngữ cảnh thông tin đã cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Haruki Murakami trong nội dung đã cung cấp về Nguyễn Nhật Ánh."
Haruki Murakami thường kết hợp các yếu tố siêu thực trong tác phẩm của mình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Haruki Murakami không được đề cập trong đoạn văn bản cung cấp, mà chỉ nói về Stephen Hawking, do đó không liên quan đến câu hỏi.  
Đoạn thông tin: Không có thông tin nào về Haruki Murakami trong văn bản."
Các tác phẩm của Haruki Murakami thường khai thác chủ đề sự cô đơn.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về sự cô đơn trong các tác phẩm của Haruki Murakami không được xác nhận trong đoạn văn cung cấp. Đoạn văn chỉ đề cập đến phong cách viết của ông và ảnh hưởng của văn hóa phương Tây, mà không nhắc đến chủ đề sự cô đơn trong tác phẩm của ông.  
Đoạn thông tin: ""Murakami đã trở thành hiện tượng trong văn học Nhật Bản đương đại với những mĩ danh 'nhà văn được yêu thích', 'nhà văn bán chạy nhất', 'nhà văn của giới trẻ'."" (không có thông tin nào nói về sự cô đơn)"
