Atomic Fact,Label,Reason
"Roger Federer sinh ngày 8 tháng 8 năm 1981 tại Basel, Thụy Sĩ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh và địa điểm của Roger Federer không liên quan đến thông tin về Cristiano Ronaldo, nhân vật được đề cập trong ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản về Cristiano Ronaldo đề cập đến Roger Federer."
Roger Federer là một trong những tay vợt vĩ đại nhất trong lịch sử quần vợt.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận bởi nhiều nguồn trong đoạn văn, trong đó có sự công nhận rộng rãi rằng Roger Federer là một trong những tay vợt vĩ đại nhất mọi thời đại.  
Đoạn thông tin: ""Roger Federer được thừa nhận một cách rộng rãi là một trong những tay vợt vĩ đại nhất mọi thời đại và là tay vợt được yêu thích nhất trong Big Three của Tennis."" ""Ngày càng nhiều tay vợt, các nhà chuyên môn và các fan hâm mộ đồng ý rằng anh là tay vợt xuất sắc nhất trong lịch sử quần vợt."""
Roger Federer nổi tiếng với kỹ thuật chơi bóng tinh tế.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Roger Federer nổi tiếng với kỹ thuật chơi bóng tinh tế được xác nhận trong đoạn văn miêu tả về sự kết hợp hoàn hảo giữa lối chơi hoa mỹ và tao nhã trong thi đấu của anh, điều này đã giúp anh thống trị làng quần vợt.  
Đoạn thông tin: ""Sự hoà quyện giữa lối chơi hoa mỹ và tao nhã trong thi đấu giúp anh thống trị làng quần vợt theo cách mà thế giới chưa từng được chứng kiến."""
Roger Federer nổi tiếng với sự điềm tĩnh.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Roger Federer nổi tiếng với sự điềm tĩnh là không chính xác. Trong đoạn văn, có đề cập rằng thời niên thiếu, Federer ""hay mất bình tĩnh, không kiểm soát được hành vi của mình trên sân đấu, thường chửi thề và đập vợt"". Điều này trái ngược với việc mô tả anh nổi tiếng với sự điềm tĩnh.  
Đoạn thông tin: ""Thời niên thiếu, Federer không tỏ ra đặc biệt nổi trội so với những tay vợt khác đồng trang lứa. Anh hay mất bình tĩnh, không kiểm soát được hành vi của mình trên sân đấu, thường chửi thề và đập vợt."""
Roger Federer nổi tiếng với phong cách thi đấu thanh lịch.,Supported,"Nhãn: Supported  
Lí do: Thông tin về phong cách thi đấu thanh lịch của Roger Federer được xác nhận trong đoạn văn bản, nơi mà sự hòa quyện giữa lối chơi hoa mỹ và tao nhã trong thi đấu được nêu rõ, cho thấy anh nổi bật với phong cách thi đấu này.  
Đoạn thông tin: ""Sự hoà quyện giữa lối chơi hoa mỹ và tao nhã trong thi đấu giúp anh thống trị làng quần vợt theo cách mà thế giới chưa từng được chứng kiến."""
Roger Federer bắt đầu chơi quần vợt từ khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Roger Federer bắt đầu chơi quần vợt từ khi còn nhỏ không liên quan đến thông tin về Cristiano Ronaldo, người mà đoạn văn đã cung cấp. Đoạn văn không đề cập đến Roger Federer hay bất kỳ thông tin nào liên quan đến sự nghiệp quần vợt của anh ta.  
Đoạn thông tin: Không có thông tin nào về Roger Federer trong đoạn văn đã cho."
Roger Federer nhanh chóng thể hiện tài năng vượt trội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Roger Federer không có trong đoạn văn bản được cung cấp. Đoạn văn chỉ nói về Cristiano Ronaldo, không đề cập gì đến Roger Federer hay tài năng của anh ấy.  
Đoạn thông tin: (Không có thông tin liên quan đến Roger Federer trong đoạn văn bản)"
Roger Federer gia nhập ATP Tour vào năm 1998.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Roger Federer gia nhập ATP Tour vào năm 1998 không được đề cập trong đoạn văn cung cấp. Đoạn văn chỉ tập trung vào các sự kiện và thành tích của Federer trong năm 2012, không liên quan đến thời điểm anh gia nhập ATP Tour.  
Đoạn thông tin: ""Sau những thành công vào cuối năm 2011, Federer tự tin bước vào mùa giải mới. Anh bắt đầu mùa giải năm 2012 bằng giải đấu Qatar Open 2012, tuy nhiên anh đã xin rút lui trước khi trận bán kết giữa anh và Jo-Wilfried Tsonga vì lý do chấn thương..."" (đoạn này không đề cập đến năm gia nhập ATP Tour)."
Roger Federer sớm ghi dấu ấn với những thành tích ấn tượng.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Roger Federer ghi dấu ấn với những thành tích ấn tượng được xác nhận trong đoạn văn, nơi nêu rõ rằng năm 2004 là một trong những năm thi đấu thành công nhất của anh, với việc giành 3 trong 4 giải Grand Slam và không thua bất kỳ tay vợt nào trong top 10 ATP. Điều này cho thấy rõ ràng sự thành công và ấn tượng của anh trong sự nghiệp quần vợt.  
Đoạn thông tin: ""Năm 2004 đánh dấu một trong những năm thi đấu thành công nhất của Roger Federer, khởi đầu một thời kỳ kéo dài hơn 4 năm trong đó Federer trở thành tay vợt thống trị tuyệt đối làng quần vợt thế giới. Anh trở thành tay vợt đầu tiên sau Mats Wilander năm 1988 giành chiến thắng 3 trong số 4 giải Grand Slam trong cùng 1 năm. Federer không thua bất kỳ một tay vợt nào xếp trong top 10 ATP năm đó, và giành thắng lợi trong tất cả các trận chung kết mà anh tham dự."""
Roger Federer giành chức vô địch Grand Slam đầu tiên tại Wimbledon vào năm 2003.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận là đúng, vì nó phù hợp với thông tin trong đoạn văn, nơi nêu rõ rằng ""Năm 2003, Federer trở thành tay vợt Thụy Sĩ đầu tiên vô địch một giải Grand Slam sau khi đánh bại Mark Philippoussis trong trận Chung Kết Wimbledon.""  
Đoạn thông tin: ""Năm 2003, Federer trở thành tay vợt Thụy Sĩ đầu tiên vô địch một giải Grand Slam sau khi đánh bại Mark Philippoussis trong trận Chung Kết Wimbledon."""
Chức vô địch Grand Slam đầu tiên của Roger Federer khởi đầu cho một kỷ nguyên thống trị của ông trong làng quần vợt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin liên quan đến chức vô địch Grand Slam của Roger Federer không được đề cập trong đoạn văn cung cấp về Barack Obama, do đó không có liên hệ nào giữa thông tin này và nhân vật được đề cập.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Roger Federer trong văn bản đã cho."
Roger Federer đã giành được 20 danh hiệu Grand Slam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Roger Federer không liên quan đến nội dung được cung cấp, mà văn bản chỉ nói về Cristiano Ronaldo và các thành tích của anh trong bóng đá.  
Đoạn thông tin: (Không có thông tin nào liên quan đến Roger Federer trong đoạn văn bản.)"
Roger Federer đã giành được 8 chức vô địch Wimbledon.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Roger Federer không liên quan đến nội dung đã được cung cấp, mà nội dung chỉ nói về sự nghiệp và thành tích của Cristiano Ronaldo.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Roger Federer trong văn bản được cung cấp."
Roger Federer đã giành được 6 chức vô địch Australian Open.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Roger Federer đã giành được 6 chức vô địch Australian Open là không chính xác. Đoạn văn chỉ đề cập đến việc Federer giành Grand Slam thứ 16 tại Australian Open và không xác nhận số lượng chức vô địch mà anh đã có tại giải đấu này.  
Đoạn thông tin: ""Tại giải Grand Slam đầu tiên trong năm Australian Open, Federer đã đánh bại Andy Murray với các tỷ số 6-3; 6-4; 7-6(13-11) để giành Grand Slam thứ 16 trong sự nghiệp sau 2h41' tại sân đấu trung tâm Rod Laver Arena."""
Roger Federer đã giành được 5 chức vô địch US Open.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin nói rằng Roger Federer đã giành được 5 chức vô địch US Open là không chính xác. Đoạn văn cung cấp không xác nhận số lần Federer vô địch US Open và chỉ đề cập rằng ông là tay vợt duy nhất 5 lần vô địch ở ba Grand Slam khác nhau. Do đó, không thể khẳng định là ông đã giành được 5 chức vô địch US Open.  
Đoạn thông tin: ""Federer là tay vợt duy nhất 5 lần vô địch ở ba Grand Slam khác nhau - Úc Mở rộng, Wimbledon và US Open."""
Roger Federer đã giành được 1 chức vô địch Pháp mở rộng.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Roger Federer giành được chức vô địch Pháp mở rộng là đúng và đã được xác nhận. Trong đoạn văn đã đề cập rõ ràng rằng Federer đã vô địch giải Pháp mở rộng lần đầu tiên vào năm 2009.  
Đoạn thông tin: ""Federer trở lại mạnh mẽ trong làng quần vợt thế giới với việc giành lại vị trí số một trong bảng xếp hạng các tay vợt nam ATP, vô địch giải Pháp mở rộng lần đầu tiên và lần thứ 6 vô địch Wimbledon."""
Roger Federer từng giữ vị trí số 1 thế giới trong tổng cộng 310 tuần.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin ""Roger Federer từng giữ vị trí số 1 thế giới trong tổng cộng 310 tuần"" là không chính xác. Theo thông tin đã cung cấp, Federer đã giữ vị trí số 1 thế giới trong 302 tuần, không phải 310 tuần.  
Đoạn thông tin: ""Federer đã trở thành tay vợt ở vị trí số 1 thế giới nhiều nhất trong lịch sử ATP khi có tuần thứ 287 đứng đầu bảng xếp hạng vào ngày 16/7/2012 vừa qua, chính thức phá vỡ kỉ lục của Pete Sampras. Đến thời điểm hiện tại (25/7/2017), Federer đã có 302 tuần ngự trị trên ngôi số 1 thế giới, một kỷ lục mà có lẽ rất rất lâu nữa mới có người phá được."""
Roger Federer từng giữ vị trí số 1 thế giới trong 237 tuần liên tiếp.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Roger Federer giữ vị trí số 1 thế giới trong 237 tuần liên tiếp được xác nhận rõ ràng trong đoạn văn. Cụ thể, thông tin này khẳng định rằng Federer đã giữ vị trí này trong thời gian dài, thiết lập một kỷ lục mới.  
Đoạn thông tin: ""Federer đã trở thành tay vợt thứ 23 dẫn đầu BXH ATP vào năm 2004 và giữ vị trí đó trong 237 tuần liên tiếp – một kỷ lục."""
Roger Federer nổi tiếng với những hoạt động từ thiện.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Roger Federer không liên quan đến nội dung được cung cấp, mà chỉ nói về Hồ Chí Minh và các sự kiện lịch sử liên quan đến ông. Không có bất kỳ thông tin nào về Roger Federer trong đoạn văn.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Roger Federer."
Roger Federer có quỹ Roger Federer Foundation.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Roger Federer có quỹ Roger Federer Foundation được xác nhận là đúng trong đoạn văn bản cung cấp, nơi nêu rõ rằng Federer là một nhà hoạt động từ thiện tích cực và đã thành lập quỹ này nhằm vào trẻ em nghèo khó ở miền nam châu Phi.  
Đoạn thông tin: ""Ông cũng là một nhà hoạt động từ thiện tích cực. Anh ấy đã thành lập Quỹ Roger Federer, nhằm vào trẻ em nghèo khó ở miền nam châu Phi..."""
Quỹ Roger Federer Foundation giúp đỡ trẻ em và cải thiện giáo dục tại nhiều quốc gia.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Quỹ Roger Federer Foundation không liên quan đến nhân vật Rowling và các hoạt động của bà được đề cập trong ngữ cảnh. Không có thông tin nào trong đoạn văn nói về Quỹ Roger Federer Foundation hoặc các hoạt động của quỹ này.  
Đoạn thông tin: Không có thông tin nào liên quan trong đoạn văn."
Roger Federer kết hôn với Mirka Vavrinec vào năm 2009.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Roger Federer kết hôn với Mirka Vavrinec vào năm 2009 không liên quan đến bất kỳ thông tin nào trong ngữ cảnh đã được cung cấp. Ngữ cảnh chỉ đề cập đến những thông tin về nước Nga, Vladimir Putin, và các sở thích của ông, không có thông tin nào về Roger Federer hay cuộc sống cá nhân của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Roger Federer trong ngữ cảnh."
Roger Federer có bốn người con.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về số con của Roger Federer không có trong đoạn thông tin cung cấp, mà chỉ có thông tin về Lê Ngọc Hân và các nhân vật liên quan đến bà. Do đó, thông tin này không liên quan đến ngữ cảnh đã được đưa ra.  
Đoạn thông tin: Không có đoạn nào trong thông tin cung cấp đề cập đến Roger Federer hoặc số con của ông."
