Atomic Fact,Label,Reason
"Scarlett Johansson là một nữ diễn viên, ca sĩ và người mẫu người Mỹ.",UnSupported,"Nhãn: UnSupported  
Lí do: Thông tin về Scarlett Johansson không được đề cập trong đoạn văn bản cung cấp, mà đoạn văn chỉ nói về Leonardo DiCaprio. Vì vậy, thông tin này không thể xác minh hoặc không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin về Scarlett Johansson trong đoạn văn bản."
Scarlett Johansson sinh ngày 22 tháng 11 năm 1984.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Scarlett Johansson không liên quan đến nội dung thông tin về Isaac Newton, mà chỉ đề cập đến cuộc đời và sự nghiệp của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản về Isaac Newton liên quan đến Scarlett Johansson hoặc ngày sinh của cô."
"Scarlett Johansson sinh tại New York City, New York.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về Scarlett Johansson sinh tại New York City, New York không được xác nhận trong đoạn văn được cung cấp, và không có bất kỳ thông tin nào liên quan đến Scarlett Johansson trong văn bản.  
Đoạn thông tin: Không có thông tin liên quan đến Scarlett Johansson trong đoạn văn."
Scarlett Johansson là một trong những ngôi sao hàng đầu của Hollywood.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Scarlett Johansson không được đề cập trong đoạn văn cung cấp thông tin, mà chỉ nói về Angelina Jolie. Do đó, điều này không liên quan đến ngữ cảnh.  
Đoạn thông tin: ""Angelina Jolie  (; tên khai sinh Angelina Jolie Voight; sinh ngày 4 tháng 6 năm 1975) là một nữ diễn viên, nhà làm phim và nhà nhân đạo người Mỹ..."""
Scarlett Johansson được biết đến với nhiều vai diễn khác nhau trong các bộ phim đa dạng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Scarlett Johansson không liên quan đến nội dung mà đoạn văn cung cấp, vì đoạn văn chỉ nói về Taylor Swift và các hoạt động liên quan đến âm nhạc và phim ảnh của cô. Không có thông tin nào trong đoạn văn đề cập đến Scarlett Johansson hay các vai diễn của cô.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Scarlett Johansson trong văn bản đã được cung cấp."
Scarlett Johansson bắt đầu sự nghiệp diễn xuất từ khi còn rất nhỏ.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận trong đoạn văn rằng Johansson đã ""khao khát được xuất hiện trên sân khấu Broadway từ khi còn nhỏ,"" điều này ngụ ý rằng cô đã bắt đầu sự nghiệp diễn xuất từ khi còn rất nhỏ.  
Đoạn thông tin: ""Johansson đã khao khát được xuất hiện trên sân khấu Broadway từ khi còn nhỏ."""
Scarlett Johansson tham gia các vở kịch ở trường.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Scarlett Johansson tham gia các vở kịch ở trường không được đề cập trong đoạn thông tin đã cung cấp về Rowling. Đoạn văn chỉ nói về các hoạt động từ thiện và ảnh hưởng của Rowling, không có liên quan gì đến Scarlett Johansson.  
Đoạn thông tin: Không có thông tin nào liên quan đến Scarlett Johansson trong đoạn văn đã cho."
"Scarlett Johansson diễn xuất trong các phim nhỏ trước khi gây sự chú ý với vai diễn trong bộ phim ""The Horse Whisperer"" (1998).",Supported,"Nhãn: Supported  
Lí do: Thông tin này hoàn toàn đúng với nội dung được cung cấp trong đoạn văn bản, nơi mô tả rằng Scarlett Johansson đã xuất hiện trong những vai nhỏ trước khi thu hút sự chú ý của công chúng với vai diễn trong ""The Horse Whisperer"".  
Đoạn thông tin: ""Sau khi xuất hiện với những vai nhỏ trong Fall và Ở nhà một mình 3 vào năm 1997, Johansson đã thu hút sự chú ý của công chúng nhờ vai diễn trong tác phẩm The Horse Whisperer (1998) của đạo diễn Robert Redford."""
"Vai diễn trong bộ phim ""The Horse Whisperer"" (1998) giúp Scarlett Johansson gây sự chú ý.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về vai diễn của Scarlett Johansson trong bộ phim ""The Horse Whisperer"" không được đề cập trong đoạn thông tin về DiCaprio. Đoạn văn chỉ tập trung vào sự nghiệp và các bộ phim của DiCaprio, không liên quan đến Scarlett Johansson.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến vai diễn của Scarlett Johansson trong ""The Horse Whisperer""."
"Vai diễn giúp Scarlett Johansson nổi tiếng toàn cầu là trong bộ phim ""Lost in Translation"" (2003).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về vai diễn của Scarlett Johansson trong bộ phim ""Lost in Translation"" không liên quan đến nội dung được cung cấp, chủ yếu nói về Leonardo DiCaprio và bộ phim ""Sói già phố Wall"".  
Đoạn thông tin: ""DiCaprio và Scorsese tái hợp lần thứ năm trong Sói già phố Wall, một bộ phim dựa trên cuộc đời của nhà môi giới chứng khoán Jordan Belfort..."" (toàn bộ đoạn thông tin cung cấp chỉ liên quan đến DiCaprio và bộ phim ""Sói già phố Wall"")."
