Atomic Fact,Label,Reason
Trần Lực là một nghệ sĩ nổi tiếng trong lĩnh vực điện ảnh và truyền hình tại Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực không được đề cập trong đoạn thông tin cung cấp về Phạm Duy. Do đó, câu hỏi không liên quan đến ngữ cảnh và nhân vật được nhắc đến.  
Đoạn thông tin: Không có thông tin nào về Trần Lực trong đoạn văn cung cấp."
Trần Lực sinh ngày 20 tháng 12 năm 1970 tại Hà Nội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực sinh ngày 20 tháng 12 năm 1970 tại Hà Nội không được đề cập trong đoạn văn bản về Trịnh Công Sơn. Do đó, nó không liên quan đến ngữ cảnh của nhân vật được cung cấp.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Lực trong đoạn văn bản về Trịnh Công Sơn."
"Trần Lực được biết đến không chỉ là một diễn viên mà còn là một đạo diễn, biên kịch và nhà sản xuất.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực không có trong đoạn tiểu sử của Trịnh Công Sơn, do đó không liên quan đến ngữ cảnh được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Trần Lực trong văn bản."
Trần Lực đã tham gia nhiều bộ phim nổi tiếng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực không có trong đoạn văn cung cấp, do đó không thể xác minh việc ông đã tham gia nhiều bộ phim nổi tiếng hay không.  
Đoạn thông tin: Không có thông tin liên quan đến Trần Lực trong đoạn văn."
Trần Lực đã tham gia nhiều bộ phim nổi tiếng trong vai trò diễn viên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực không được đề cập trong đoạn văn bản cung cấp. Tất cả thông tin đều liên quan đến Trịnh Công Sơn và không có thông tin nào liên quan đến Trần Lực.  
Đoạn thông tin: Không có thông tin liên quan đến Trần Lực trong đoạn văn bản."
Trần Lực đã tham gia nhiều bộ phim nổi tiếng trong vai trò đạo diễn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực không được đề cập đến trong đoạn văn thông tin cung cấp. Đoạn văn chỉ nói về Trịnh Công Sơn, không liên quan gì đến Trần Lực hoặc sự nghiệp của ông trong vai trò đạo diễn.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Lực trong đoạn văn."
Trần Lực bắt đầu sự nghiệp diễn xuất từ những năm 1990.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực và sự nghiệp diễn xuất của ông không được đề cập trong đoạn thông tin đã cung cấp. Đoạn văn chỉ nói về các sự kiện lịch sử liên quan đến Việt Nam Dân Chủ Cộng hòa và các nhân vật như Võ Nguyên Giáp, Ngô Đình Diệm, mà không đề cập đến Trần Lực.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Lực trong văn bản đã cho."
Trần Lực đã đóng góp nhiều vai diễn ấn tượng trong các bộ phim truyền hình và điện ảnh Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực và vai diễn của ông trong các bộ phim truyền hình và điện ảnh Việt Nam không được đề cập trong đoạn thông tin về Phạm Duy. Do đó, câu hỏi không liên quan đến nội dung đã cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Trần Lực trong phần thông tin về Phạm Duy."
"Một số tác phẩm nổi bật mà Trần Lực tham gia có thể kể đến như ""Hà Nội 12 ngày đêm"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Lực và tác phẩm ""Hà Nội 12 ngày đêm"" không được đề cập trong đoạn thông tin cung cấp về Nguyễn Du. Tất cả thông tin liên quan chỉ bàn về các tác phẩm của Nguyễn Du mà không có liên quan đến Trần Lực hay bất kỳ tác phẩm nào khác ngoài Nguyễn Du.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Lực hoặc tác phẩm ""Hà Nội 12 ngày đêm"" trong đoạn văn."
"Một số tác phẩm nổi bật mà Trần Lực tham gia có thể kể đến như ""Vị đắng tình yêu"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Trần Lực và tác phẩm ""Vị đắng tình yêu"", nhưng không có bất kỳ thông tin nào liên quan đến Trần Lực trong đoạn văn về Trịnh Công Sơn. Đoạn văn chỉ nói về Trịnh Công Sơn và các tác phẩm của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Lực hay tác phẩm ""Vị đắng tình yêu"" trong văn bản đã cung cấp."
