Atomic Fact,Label,Reason
Chi Pu tên thật là Nguyễn Thị Thùy Chi.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin ""Chi Pu tên thật là Nguyễn Thị Thùy Chi"" là không chính xác, vì tên thật của Chi Pu được ghi nhận là ""Nguyễn Thùy Chi"" mà không có tên ""Thị"".  
Đoạn thông tin: ""Nguyễn Thùy Chi (sinh ngày 14 tháng 6 năm 1993), thường được biết đến với nghệ danh Chi Pu..."""
Chi Pu sinh ngày 14 tháng 6 năm 1993.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Chi Pu sinh ngày 14 tháng 6 năm 1993"" được xác nhận là đúng dựa trên thông tin từ Wikipedia.  
Đoạn thông tin: ""Chi Pu sinh ngày 14 tháng 6 năm 1993 tại Hà Nội."""
"Chi Pu sinh tại Hà Nội, Việt Nam.",Supported,"Nhãn: Supported  
Lí do: Thông tin ""Chi Pu sinh tại Hà Nội, Việt Nam"" được xác nhận là đúng dựa trên nguồn tham khảo Wikipedia, trong đó ghi rõ địa điểm sinh của Chi Pu.  
Đoạn thông tin: ""Chi Pu sinh ngày 14 tháng 6 năm 1993 tại Hà Nội."""
Chi Pu là một nghệ sĩ đa tài.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận bởi các đoạn văn trong tiểu sử và sự nghiệp của Chi Pu, trong đó mô tả cô không chỉ là một ca sĩ mà còn là diễn viên, người dẫn chương trình và người mẫu. Điều này cho thấy cô có nhiều lĩnh vực hoạt động khác nhau, điều này phù hợp với khái niệm về một nghệ sĩ đa tài.  
Đoạn thông tin: ""Nguyễn Thùy Chi (sinh ngày 14 tháng 6 năm 1993), thường được biết đến với nghệ danh Chi Pu, là một nữ ca sĩ, diễn viên, người dẫn chương trình kiêm người mẫu người Việt Nam."" và ""Ngoài thành công với sự nghiệp làm người mẫu ảnh và diễn viên, cô còn trở thành một ca sĩ vào năm 2017..."""
Chi Pu nổi tiếng với vai trò là ca sĩ.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Chi Pu nổi tiếng với vai trò là ca sĩ không chính xác. Mặc dù cô đã thử sức với vai trò ca sĩ và phát hành các sản phẩm âm nhạc, nhưng cô bị chỉ trích nặng nề về khả năng hát và không được công nhận rộng rãi như một ca sĩ. Các nghệ sĩ và khán giả đã có nhiều ý kiến phản đối về quyết định này của cô.  
Đoạn thông tin: ""Chi Pu thường xuyên bị phàn nàn có chất giọng yếu và hầu như hụt hơi khi lên những nốt cao. Đa số những lần biểu diễn trực tiếp của cô đều bị cho là 'thất bại' và Chi Pu nhận về các chỉ trích từ khán giả vì giọng hát 'chênh, phô và hát oét'.""  
""Người lên tiếng nhiều nhất trong nhóm này là Hương Tràm, liên tục công kích Chi Pu trên mạng xã hội và cho rằng cô đang cố gắng 'kiếm tiền' từ người hâm mộ với dự án âm nhạc mới.""  
""Chi Pu cũng bị khán giả tỏ thái độ chán ghét và đòi cô giải nghệ khi trình diễn nhiều bài hát khác...""  
""Chi Pu còn bị khán giả ghi nhận hát nhép nhiều lần."""
Chi Pu nổi tiếng với vai trò là diễn viên.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Chi Pu nổi tiếng với vai trò là diễn viên được xác nhận qua nhiều đoạn trong văn bản cung cấp, nơi nhấn mạnh rằng công việc chính của cô là diễn viên và cô đã thử sức với các vai diễn khác nhau.  
Đoạn thông tin: ""Ngoài công việc chính là diễn viên, Chi Pu cũng liên tục được mời làm người mẫu ảnh cho các tạp chí uy tín và thương hiệu thời trang lớn."" "
Chi Pu nổi tiếng với vai trò là người mẫu.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho thấy Chi Pu không chỉ là diễn viên mà còn thường xuyên được mời làm người mẫu ảnh cho các tạp chí uy tín và thương hiệu thời trang lớn, điều này chứng tỏ cô nổi tiếng trong vai trò người mẫu.  
Đoạn thông tin: ""Ngoài công việc chính là diễn viên, Chi Pu cũng liên tục được mời làm người mẫu ảnh cho các tạp chí uy tín và thương hiệu thời trang lớn."""
Chi Pu bắt đầu sự nghiệp nghệ thuật khi còn là học sinh.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết Chi Pu đã tham gia nhiều cuộc thi âm nhạc từ nhỏ và bắt đầu nổi tiếng qua việc tham gia cuộc thi Miss Teen 2009 khi cô còn là học sinh. Điều này xác nhận rằng cô đã bắt đầu sự nghiệp nghệ thuật khi còn đang học.  
Đoạn thông tin: ""Chi Pu biết chơi đàn piano và từng tham dự nhiều cuộc thi âm nhạc lúc nhỏ."" và ""Năm 16 tuổi, Chi Pu đăng ký tham dự cuộc thi Miss Teen 2009 và dừng chân ở Top 20."""
"Chi Pu nổi lên từ chương trình ""The Voice"" (Giọng hát Việt) mùa đầu tiên vào năm 2012.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về Chi Pu nổi lên từ chương trình ""The Voice"" (Giọng hát Việt) mùa đầu tiên vào năm 2012 không được xác nhận trong đoạn thông tin cung cấp. Không có thông tin nào trong đoạn văn nói về sự tham gia của Chi Pu trong chương trình ""The Voice"" hay việc cô nổi lên từ đó.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Chi Pu và chương trình ""The Voice""."
"Chi Pu ghi dấu ấn trong lòng khán giả qua bộ phim ""Hương Ga"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Chi Pu ghi dấu ấn trong lòng khán giả qua bộ phim ""Hương Ga"" không được đề cập trong đoạn văn cung cấp. Các thông tin liên quan đến Chi Pu chủ yếu xoay quanh sự nghiệp âm nhạc và những tranh cãi xung quanh vai trò ca sĩ của cô, mà không có đề cập nào đến bộ phim ""Hương Ga"".  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến ""Hương Ga"" hoặc Chi Pu ghi dấu ấn trong lòng khán giả qua bộ phim này."
