Atomic Fact,Label,Reason
William Shakespeare là một trong những nhà văn vĩ đại nhất trong lịch sử văn học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về William Shakespeare không có liên quan đến nhân vật được đề cập là Sir Isaac Newton. Trong đoạn văn cung cấp, không có bất kỳ thông tin nào về William Shakespeare.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến William Shakespeare trong thông tin về Sir Isaac Newton."
"William Shakespeare sinh ngày 23 tháng 4 năm 1564 tại Stratford-upon-Avon, nước Anh.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh và địa điểm của William Shakespeare không có liên quan gì đến thông tin được cung cấp về Isaac Newton. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Isaac Newton mà không đề cập đến William Shakespeare.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến William Shakespeare trong nội dung đã cho.)"
Cha của William Shakespeare là John Shakespeare.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cha của William Shakespeare không liên quan đến thông tin về Sir Winston Churchill, nhân vật được mô tả trong ngữ cảnh.  
Đoạn thông tin: (Không có đoạn thông tin nào về William Shakespeare hoặc cha của ông trong văn bản cung cấp.)"
John Shakespeare là một thương nhân.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về John Shakespeare không được đề cập trong ngữ cảnh cung cấp về Newton. Do đó, không có cơ sở nào để khẳng định rằng John Shakespeare là một thương nhân dựa trên thông tin đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến John Shakespeare trong ngữ cảnh về Newton."
Mẹ của William Shakespeare là Mary Arden.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về mẹ của William Shakespeare không liên quan đến nội dung về Winston Churchill được cung cấp trong đoạn văn. Đoạn thông tin chỉ nói về Churchill và những sự kiện liên quan đến cuộc đời và sự nghiệp của ông, không đề cập đến William Shakespeare hay bất kỳ thông tin nào về gia đình của ông.  
Đoạn thông tin: (Tất cả thông tin về Churchill, không có thông tin nào về William Shakespeare hoặc mẹ của ông)"
Mary Arden xuất thân từ một gia đình quý tộc địa phương.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Mary Arden không liên quan đến nội dung được cung cấp, mà chỉ nói về Lê Thái Tổ và Hán Cao Tổ. Không có thông tin nào trong đoạn văn đề cập đến Mary Arden hoặc gia đình của cô.  
Đoạn thông tin: Không có thông tin liên quan đến Mary Arden trong đoạn văn được cung cấp."
William Shakespeare lớn lên trong một gia đình khá giả.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về William Shakespeare không được đề cập trong đoạn văn cung cấp về Albert Einstein. Do đó, thông tin này không liên quan đến ngữ cảnh mà chúng ta đang xem xét.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến William Shakespeare trong văn bản cung cấp."
William Shakespeare đã được giáo dục tại một trường học địa phương.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về William Shakespeare không có trong đoạn văn bản được cung cấp, chỉ có thông tin về Isaac Newton.  
Đoạn thông tin: ""Isaac Newton được sinh ra (theo lịch Julius, đang được sử dụng ở Anh vào thời điểm đó) vào ngày Giáng sinh, 25 tháng 12 năm 1642..."" (và các đoạn khác liên quan đến cuộc đời của Isaac Newton)."
"William Shakespeare học đọc, viết và ngữ pháp.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc William Shakespeare học đọc, viết và ngữ pháp không liên quan đến nhân vật Sir Isaac Newton, người được đề cập trong thông tin cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến William Shakespeare trong văn bản cung cấp."
William Shakespeare đã kết hôn với Anne Hathaway vào năm 1582.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về William Shakespeare và Anne Hathaway không liên quan đến nội dung thông tin cung cấp về Stephen Hawking. Đoạn văn bản chỉ đề cập đến đời tư và các hoạt động của Stephen Hawking, không có thông tin nào về William Shakespeare.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến William Shakespeare và Anne Hathaway trong tài liệu được cung cấp."
