Atomic Fact,Label,Reason
Michael Jordan sinh ngày 17 tháng 2 năm 1963.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về ngày sinh của Michael Jordan là sai, vì trong đoạn văn không có thông tin nào xác nhận điều này và đoạn văn chỉ nói về Messi.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michael Jordan trong văn bản đã cung cấp."
Michael Jordan là một cựu cầu thủ bóng rổ chuyên nghiệp người Mỹ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan không có liên quan nào đến nội dung thông tin về Vladimir Putin đã được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Michael Jordan trong nội dung về Vladimir Putin."
Michael Jordan được coi là một trong những vận động viên vĩ đại nhất trong lịch sử thể thao.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan không liên quan đến ngữ cảnh của Messi, người được đề cập trong đoạn thông tin được cung cấp. Đoạn thông tin chỉ nói về Messi và các thành tích của anh, không đề cập đến Michael Jordan hay các nhận định về anh.  
Đoạn thông tin: ""Là tuyển thủ quốc gia Argentina, Messi là cầu thủ ra sân nhiều nhất và cũng là cầu thủ ghi nhiều bàn thắng nhất mọi thời đại của đất nước quê hương anh. Ở cấp độ trẻ, anh đã giành chức vô địch giải bóng đá trẻ thế giới năm 2005, kết thúc giải đấu với Quả bóng vàng và Chiếc giày vàng, giành tấm huy chương vàng tại Thế vận hội Mùa hè 2008..."" (và các thông tin khác liên quan đến Messi)."
"Michael Jordan sinh ra tại Brooklyn, New York.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về nơi sinh của Michael Jordan là sai, vì theo thông tin được cung cấp, Scarlett Johansson sinh ra tại Manhattan, New York, không phải Brooklyn.  
Đoạn thông tin: ""Scarlett Ingrid Johansson sinh ngày 22 tháng 11 năm 1984, tại quận Manhattan của Thành phố New York."""
"Michael Jordan lớn lên ở Wilmington, North Carolina.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Michael Jordan lớn lên ở Wilmington, North Carolina không được xác nhận trong đoạn văn cung cấp về Barack Obama. Đoạn văn chỉ đề cập đến việc Obama lớn lên ở Honolulu và Jakarta, mà không nhắc đến Michael Jordan hoặc Wilmington, North Carolina.  
Đoạn thông tin: ""lớn lên ở Honolulu và Jakarta""."
Michael Jordan theo học tại Đại học Bắc Carolina.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan không liên quan đến tiểu sử của Scarlett Johansson, nhân vật được đề cập trong ngữ cảnh. Không có thông tin nào trong đoạn văn đề cập đến Michael Jordan hoặc việc ông theo học tại Đại học Bắc Carolina.  
Đoạn thông tin: ""Scarlett Ingrid Johansson sinh ngày 22 tháng 11 năm 1984, tại quận Manhattan của Thành phố New York..."" (tiếp tục với các thông tin khác về Scarlett Johansson)."
Michael Jordan đã giành chức vô địch NCAA vào năm 1982.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan và việc giành chức vô địch NCAA không liên quan đến nội dung đã được cung cấp, mà chỉ tập trung vào sự nghiệp của Ronaldo.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Michael Jordan hay chức vô địch NCAA."
Michael Jordan được Chicago Bulls chọn vào lượt thứ ba trong kỳ dự tuyển NBA năm 1984.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan không có liên quan gì đến thông tin về nhân vật được đề cập, mà chỉ tập trung vào Vladimir Putin và các sở thích cũng như quan điểm chính trị của ông.  
Đoạn thông tin: ""Nước Nga đã đưa ra lựa chọn của mình theo hướng dân chủ. Mười bốn năm trước, một cách độc lập, không bị bất cứ một sức ép nào từ bên ngoài, nó đã đưa ra quyết định đó trên cơ sở lợi ích của chính mình và lợi ích của người dân - những công dân của nó..."" (và các đoạn khác liên quan đến Putin)."
Michael Jordan đã giành được 6 chức vô địch NBA với Chicago Bulls.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan và số chức vô địch NBA của ông không được đề cập trong đoạn văn thông tin cung cấp, mà chỉ nói về Lionel Messi và thành tích của anh trong bóng đá.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michael Jordan trong văn bản cung cấp."
"Michael Jordan giành chức vô địch NBA vào các năm 1991, 1992, 1993, 1996, 1997, 1998.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jordan không có trong đoạn văn cung cấp, mà chỉ có thông tin về Lionel Messi. Do đó, thông tin này không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michael Jordan trong văn bản đã cho."
