Atomic Fact,Label,Reason
Leonardo DiCaprio là một trong những diễn viên nổi tiếng và thành công nhất của Hollywood.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Leonardo DiCaprio không được đề cập đến trong đoạn văn cung cấp, vì vậy không có cơ sở nào để xác nhận hay bác bỏ sự thật về anh ta trong ngữ cảnh này.  
Đoạn thông tin: Không có thông tin liên quan đến Leonardo DiCaprio trong đoạn văn."
Leonardo DiCaprio sinh ngày 11 tháng 11 năm 1974.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin trong atomic fact không liên quan đến nhân vật Isaac Newton, mà thay vào đó nói về Leonardo DiCaprio, một người hoàn toàn khác. Không có thông tin nào trong đoạn văn về Isaac Newton đề cập đến Leonardo DiCaprio hay ngày sinh của ông.  
Đoạn thông tin: Không có thông tin nào trong đoạn về Isaac Newton liên quan đến Leonardo DiCaprio."
"Leonardo DiCaprio sinh tại Los Angeles, California, Hoa Kỳ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Leonardo DiCaprio không liên quan đến thông tin được cung cấp về Barack Obama và không có trong ngữ cảnh của nhân vật mà đoạn văn bản đề cập.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Leonardo DiCaprio trong văn bản cung cấp."
Leonardo DiCaprio đã thể hiện niềm đam mê với nghệ thuật biểu diễn từ khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Leonardo DiCaprio không được đề cập trong đoạn văn cung cấp, mà chỉ có thông tin về Phạm Duy. Do đó, thông tin này không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin liên quan đến Leonardo DiCaprio trong đoạn văn."
Leonardo DiCaprio bắt đầu sự nghiệp diễn xuất từ khi còn là một đứa trẻ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Leonardo DiCaprio không được đề cập trong đoạn văn cung cấp, do đó nó không liên quan đến nhân vật đang được nói đến, đó là Stephen Hawking.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Leonardo DiCaprio trong văn bản được cung cấp."
Leonardo DiCaprio tham gia vào các quảng cáo và chương trình truyền hình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Leonardo DiCaprio không có trong đoạn văn bản được cung cấp. Đoạn văn chỉ đề cập đến Vladimir Putin và các thông tin liên quan đến ông, không đề cập gì đến Leonardo DiCaprio hay bất kỳ hoạt động quảng cáo và chương trình truyền hình nào của ông.  
Đoạn thông tin: Không có thông tin liên quan đến Leonardo DiCaprio trong đoạn văn đã cho."
"Leonardo DiCaprio trở nên nổi bật với vai diễn trong bộ phim ""What's Eating Gilbert Grape"" (1993).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Leonardo DiCaprio và vai diễn của anh trong bộ phim ""What's Eating Gilbert Grape"" không liên quan đến thông tin cung cấp về Albert Einstein và các nghiên cứu của ông. Đoạn văn chỉ đề cập đến sự nghiệp và thành tựu của Einstein mà không có bất kỳ thông tin nào liên quan đến Leonardo DiCaprio.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Leonardo DiCaprio trong đoạn văn cung cấp.>"
"Leonardo DiCaprio đóng cùng Johnny Depp trong bộ phim ""What's Eating Gilbert Grape"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Leonardo DiCaprio đóng cùng Johnny Depp trong bộ phim ""What's Eating Gilbert Grape"" không liên quan đến thông tin đã cung cấp về Putin. Đoạn văn cung cấp chỉ tập trung vào sở thích và thói quen của Putin mà không đề cập đến bất kỳ thông tin nào về Leonardo DiCaprio hoặc Johnny Depp.  
Đoạn thông tin: Không có đoạn thông tin nào trong tài liệu liên quan đến Leonardo DiCaprio hay Johnny Depp."
"Vai diễn trong ""What's Eating Gilbert Grape"" đã mang về cho Leonardo DiCaprio đề cử Giải Oscar cho Nam diễn viên phụ xuất sắc nhất.",Supported,"Nhãn: Supported  
Lí do: Thông tin về việc vai diễn của Leonardo DiCaprio trong ""What's Eating Gilbert Grape"" đã mang về cho anh ta đề cử Giải Oscar cho Nam diễn viên phụ xuất sắc nhất được xác nhận là đúng từ nguồn thông tin cung cấp.  
Đoạn thông tin: ""Giải Oscar lần thứ 66 (1994): Đề cử Nam diễn viên phụ xuất sắc nhất cho vai diễn Arnold 'Arnie' Grape trong What's Eating Gilbert Grape."""
"Sự nghiệp của Leonardo DiCaprio thực sự bùng nổ với bộ phim ""Titanic"" (1997).",Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết rằng sự nghiệp của Leonardo DiCaprio bùng nổ với bộ phim ""Titanic"" (1997) là chính xác, vì đoạn thông tin chỉ ra rằng với vai diễn Jack Dawson trong ""Titanic"", DiCaprio trở thành một siêu sao và được yêu mến nồng nhiệt, được biết đến với tên gọi ""Leo-mania"". Điều này cho thấy bộ phim đã có tác động lớn đến sự nghiệp của anh.  
Đoạn thông tin: ""Với vai diễn Jack Dawson, DiCaprio trở thành một siêu sao, được sự yêu mến nồng nhiệt của các cô gái tuổi teen và phụ nữ trẻ tuổi nói chung, đây được biết đến với tên gọi 'Leo-mania.'"""
